0	27.7128	1199.01	20	1397	20	0	10	2	8	0	20	
0.005	27.4456	1199.01	19.3098	0	20	1158	0	10	2	8	0	20	
0.01	27.3357	1199.01	19.146	0	20	1158	0	10	2	8	0	20	
0.015	27.2016	1199.01	19.0076	0	20	1158	0	10	2	8	0	20	
0.02	27.0779	1199.01	18.9102	0	20	1158	0	10	2	8	0	20	
0.025	26.958	1199.01	18.8314	0	20	1158	0	10	2	8	0	20	
0.03	26.8443	1199.01	18.766	0	20	1158	0	10	2	8	0	20	
0.035	26.7358	1199.01	18.7092	0	20	1158	0	10	2	8	0	20	
0.04	26.6325	1199.01	18.6589	0	20	1158	0	10	2	8	0	20	
0.045	26.5339	1199.01	18.6132	0	20	1158	0	10	2	8	0	20	
0.05	26.4395	1199.01	18.5713	0	20	1158	0	10	2	8	0	20	
0.055	26.3491	1199.01	18.5324	0	20	1158	0	10	2	8	0	20	
0.06	26.2622	1199.01	18.496	0	20	1158	0	10	2	8	0	20	
0.065	26.1786	1199.01	18.4616	0	20	1158	0	10	2	8	0	20	
0.07	26.098	1199.01	18.4291	0	20	1158	0	10	2	8	0	20	
0.075	26.0202	1199.01	18.3981	0	20	1158	0	10	2	8	0	20	
0.08	25.945	1199.01	18.3685	0	20	1158	0	10	2	8	0	20	
0.085	25.8722	1199.01	18.3401	0	20	1158	0	10	2	8	0	20	
0.09	25.8016	1199.01	18.3129	0	20	1158	0	10	2	8	0	20	
0.095	25.7331	1199.01	18.2866	0	20	1158	0	10	2	8	0	20	
0.1	25.6665	1199.01	18.2613	0	20	1157	0	10	2	8	0	20	
0.105	25.6018	1199.01	18.2367	0	20	1157	0	10	2	8	0	20	
0.11	25.5388	1199.01	18.213	0	20	1157	0	10	2	8	0	20	
0.115	25.4775	1199.01	18.1899	0	20	1157	0	10	2	8	0	20	
0.12	25.4177	1199.01	18.1676	0	20	1157	0	10	2	8	0	20	
0.125	25.3594	1199.01	18.1458	0	20	1157	0	10	2	8	0	20	
0.13	25.3025	1199.01	18.1246	0	20	1157	0	10	2	8	0	20	
0.135	25.2469	1199.01	18.104	0	20	1157	0	10	2	8	0	20	
0.14	25.1926	1199.01	18.0838	0	20	1157	0	10	2	8	0	20	
0.145	25.1395	1199.01	18.0642	0	20	1157	0	10	2	8	0	20	
0.15	25.0875	1199.01	18.045	0	20	1157	0	10	2	8	0	20	
0.155	25.0367	1199.01	18.0262	0	20	1157	0	10	2	8	0	20	
0.16	24.9869	1199.01	18.0078	0	20	1157	0	10	2	8	0	20	
